datetime,charging_mw,discharging_mw,net_output_mw
2024-01-14 09:00:00+00:00,-512.8679999999999,1534.421,1021.5550000000001
2024-01-14 10:00:00+00:00,-755.634,520.294,-235.341
2024-01-14 11:00:00+00:00,-971.474,1613.913,642.4390000000001
2024-01-14 12:00:00+00:00,-1761.3220000000001,2098.864,337.539
2024-01-14 13:00:00+00:00,-428.356,2372.077,1943.721
2024-01-14 14:00:00+00:00,-933.492,1777.781,844.292
2024-01-14 15:00:00+00:00,-1449.503,3264.275,1814.7710000000002
2024-01-14 16:00:00+00:00,-1359.298,1973.463,614.165
2024-01-14 17:00:00+00:00,-1716.719,1739.787,23.07100000000002
2024-01-14 18:00:00+00:00,-2010.98,1006.891,-1004.087
2024-01-14 19:00:00+00:00,-6211.044,607.54,-5603.505
2024-01-14 20:00:00+00:00,-5308.441,833.614,-4474.828
2024-01-14 21:00:00+00:00,-2495.616,1522.534,-973.083
2024-01-14 22:00:00+00:00,-1697.331,1513.01,-184.322
2024-01-14 23:00:00+00:00,-1022.621,1633.861,611.24
2024-01-15 00:00:00+00:00,-1205.794,1146.851,-58.94099999999997
2024-01-15 01:00:00+00:00,-1211.405,1523.932,312.526
2024-01-15 02:00:00+00:00,-765.329,1450.841,685.515
2024-01-15 03:00:00+00:00,-1275.326,2011.225,735.9
2024-01-15 04:00:00+00:00,-2414.505,898.793,-1515.71
2024-01-15 05:00:00+00:00,-3545.395,422.584,-3122.813
2024-01-15 06:00:00+00:00,-3901.856,754.473,-3147.381
2024-01-15 07:00:00+00:00,-1749.973,576.861,-1173.113
2024-01-15 08:00:00+00:00,-1306.513,184.627,-1121.884
2024-01-15 09:00:00+00:00,-727.7239999999999,257.438,-470.282
2024-01-15 10:00:00+00:00,-1028.013,858.0840000000001,-169.92700000000002
2024-01-15 11:00:00+00:00,-1057.693,1006.952,-50.743999999999964
2024-01-15 12:00:00+00:00,-613.904,2305.94,1692.037
2024-01-15 13:00:00+00:00,-742.529,7688.677,6946.147
2024-01-15 14:00:00+00:00,-345.274,10736.983,10391.708
2024-01-15 15:00:00+00:00,-1147.8990000000001,3292.199,2144.295
2024-01-15 16:00:00+00:00,-1731.0970000000002,3296.105,1565.006
2024-01-15 17:00:00+00:00,-2771.392,1218.104,-1553.285
2024-01-15 18:00:00+00:00,-3297.016,776.383,-2520.629
2024-01-15 19:00:00+00:00,-8727.318,319.697,-8407.623
2024-01-15 20:00:00+00:00,-11740.622,115.694,-11624.928
2024-01-15 21:00:00+00:00,-5221.159,86.231,-5134.9259999999995
2024-01-15 22:00:00+00:00,-1610.291,113.04,-1497.251
2024-01-15 23:00:00+00:00,-439.658,159.756,-279.901
2024-01-16 00:00:00+00:00,-250.804,1170.657,919.851
2024-01-16 01:00:00+00:00,-616.971,2468.453,1851.483
2024-01-16 02:00:00+00:00,-983.477,593.795,-389.68199999999996
2024-01-16 03:00:00+00:00,-1764.854,315.547,-1449.307
2024-01-16 04:00:00+00:00,-730.011,650.275,-79.73800000000001
2024-01-16 05:00:00+00:00,-1269.3029999999999,672.347,-596.954
2024-01-16 06:00:00+00:00,-1084.521,593.535,-490.986
2024-01-16 07:00:00+00:00,-1057.984,688.8330000000001,-369.149
2024-01-16 08:00:00+00:00,-1366.588,578.55,-788.039
2024-01-16 09:00:00+00:00,-1114.78,721.147,-393.63300000000004
2024-01-16 10:00:00+00:00,-1147.187,968.087,-179.09899999999996
2024-01-16 11:00:00+00:00,-870.184,366.204,-503.98
2024-01-16 12:00:00+00:00,-378.295,3368.303,2990.005
2024-01-16 13:00:00+00:00,-160.97,11855.842,11694.871
2024-01-16 14:00:00+00:00,-1207.069,5770.214,4563.148
2024-01-16 15:00:00+00:00,-1128.496,1771.135,642.6379999999999
2024-01-16 16:00:00+00:00,-854.176,1962.942,1108.7649999999999
2024-01-16 17:00:00+00:00,-1684.743,699.338,-985.403
2024-01-16 18:00:00+00:00,-4137.423,584.913,-3552.5119999999997
2024-01-16 19:00:00+00:00,-7775.759,112.13,-7663.628
2024-01-16 20:00:00+00:00,-8777.911,241.68699999999998,-8536.225
2024-01-16 21:00:00+00:00,-6098.072,392.48900000000003,-5705.583
2024-01-16 22:00:00+00:00,-1068.081,2047.777,979.696
2024-01-16 23:00:00+00:00,-536.432,8276.530999999999,7740.098
2024-01-17 00:00:00+00:00,-137.572,11729.345,11591.775
2024-01-17 01:00:00+00:00,-315.076,6790.955,6475.88
2024-01-17 02:00:00+00:00,-1911.2,2783.777,872.577
2024-01-17 03:00:00+00:00,-1316.411,1508.3419999999999,191.93100000000004
2024-01-17 04:00:00+00:00,-1633.433,396.962,-1236.47
